Id,Sentence,True_Answer,Model_Pred,Raw_Output
u7w0lr,"A girl hula hoops indoors before the scene shifts outdoors to a cheering group on rocks; then, players swim towards the pool's center, with one in a white cap preparing to pass the ball as spectators watch.","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
kSE41E,"The man moves closer to the mirror, tilting his head up while shaving, then a towel is raised to a face as the camera zooms in on a hand reaching down to touch the water surface.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
oO5UVE,"The cookie sheet with dough moves closer to the woman as she turns slightly left, then the second hand moves away, leaving the colorful-nailed hand resting alone on the paper.","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
Qrt4Ax,"A person adjusts a bicycle as it shifts right and the camera lowers, while another individual points; then, the view focuses on hands attaching a bike accessory before revealing two similar items being held and connected to the bike.","[4, 2, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
WIiRD7,"A cyclist rides down a street, transitioning to a website link on a black screen; then, a hand adjusts the brake alignment, ensuring the wheel remains centered.","[4, 1, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
26W9oD,"The tool moves slightly upward and closer to the skin as the camera zooms in, then the hand pulls the lip further back to reveal more of the upper teeth.","[2, 4, 3, 1]","[2, 3, 1, 4]","[3, 1, 2, 4]"
FIE67H,"The woman ties her hair back into a braid while turning slightly to the right, then the braid is woven tighter as hands move downward, securing the style.","[2, 4, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
WTHZva,"The skater descends from the wall to the ground as the camera tilts down, followed by a player raising a paintball gun forward with a slight camera zoom.","[4, 3, 2, 1]","[2, 4, 1, 3]","[3, 1, 4, 2]"
xz5ZGp,"A person in a hooded coat is clearing snow from a car, replaced by another in a red cap, then moves to a nearby truck as the camera pans right, with a snowy tree branch visible in the background.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
2qEbuk,"The bottle is lowered as fingers with pink nails approach the camera, then hands part to weave strands of hair into a braid.","[2, 4, 3, 1]","[2, 4, 1, 3]","[3, 1, 4, 2]"
bmnOkL,"The skier descends a steep slope, transitioning to a flatter snowy landscape, then the view shifts from distant mountains to a skier approaching trees in the foreground.","[4, 3, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
qHYE4w,"The skater begins to glide down the road, then falls and lies on the ground, while another skater approaches and sits beside her.","[1, 4, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
GgHf6s,"The cymbal player moves to the center, joining the group as the camera zooms out, then the band transitions from scattered positions to a tightly organized formation across the field, with the camera continuing to zoom out.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
wQMMKq,"The child shows a small object close-up, then sits smiling at a table as the camera zooms out, followed by a woman sitting for a tattoo, her face shifting left while subtitles appear on screen during a camera zoom.","[2, 1, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
DibTY4,"The diver leaps off the platform as the camera shifts left, transitioning to players swimming towards the goal, followed by a dramatic zoom-in on the ""MATT VS."" title screen.","[3, 1, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
qxdBAf,"The bartender measures ingredients into a blender and adds a plate from the left, then the scene shifts to garnishing a cocktail with an orange peel, concluding with a close-up of a green logo on a white background.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
cpyXWh,"The camera zooms in on the ice fishing hole as a fish swims beneath, then shifts to a man kneeling near a fishing setup; he exits, leaving the pole in focus with text appearing at the bottom.","[3, 1, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
cf5xEW,"The underwater scene transitions to a promotional video screen with video thumbnails, then shifts to a worker applying a mixture to a wall, followed by a downward camera tilt revealing two buckets on the floor.","[1, 2, 3, 4]","[1, 2, 4, 3]","[1, 2, 4, 3]"
3M8DjI,"The hair is braided over the shoulder, then twisted to the side, rolled into a bun, and secured at the back as the camera shifts left.","[1, 4, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
