id,sentence,shown_images,target
6YhyNZ,"A person in a wheelchair adjusts their foot as a small dog approaches, then a cleaning machine moves forward across the tiles, revealing a clean path behind it while the camera tilts down slightly.","['6YhyNZ_aos.jpg', '6YhyNZ_agr.jpg', '6YhyNZ_iir.jpg', '6YhyNZ_hbm.jpg']","[2, 1, 4, 3]"
xXeES8,"A snowboarder pauses to adjust their gear next to a tree, viewed from above, then a skier glides down a slope, approaches a wider path, and stops as the camera pans slightly upward.","['xXeES8_vtz.jpg', 'xXeES8_qif.jpg', 'xXeES8_iia.jpg', 'xXeES8_ehc.jpg']","[4, 3, 2, 1]"
JCZ4HG, Several people crash into each other and fall down on the track.,"['JCZ4HG_gor.jpg', 'JCZ4HG_hqn.jpg', 'JCZ4HG_iun.jpg', 'JCZ4HG_lbu.jpg']","[2, 1, 3, 4]"
1Vf7fV,"The video begins with the title ""Clean And Jerk,"" then shows the athlete preparing to lift, followed by the lift itself, and finally, the athlete in a focused position during the lift.","['1Vf7fV_beh.jpg', '1Vf7fV_ery.jpg', '1Vf7fV_qhi.jpg', '1Vf7fV_vto.jpg']","[2, 4, 3, 1]"
ZCKram,"The skater accelerates down the road as another skater enters from the right, then the skateboarder glides along a path, exits the scene, and the camera pans left to reveal a tree.","['ZCKram_xec.jpg', 'ZCKram_gwm.jpg', 'ZCKram_ljj.jpg', 'ZCKram_ekp.jpg']","[3, 1, 4, 2]"
feTurN, The man jumps off the horse and ties the bull up.,"['feTurN_gqf.jpg', 'feTurN_yxc.jpg', 'feTurN_nxf.jpg', 'feTurN_bja.jpg']","[1, 2, 3, 4]"
soxvXm,"The text transitions from ""Beginners Makeup using 1 Eyeshadow!"" to a website URL on a black background, while a person lifts a kettlebell upward, moving from a kneeling to a standing position with control.","['soxvXm_fic.jpg', 'soxvXm_rzv.jpg', 'soxvXm_sfv.jpg', 'soxvXm_ycp.jpg']","[2, 3, 1, 4]"
sGF4Eo,"The skier moves through the trees, then glides onto a wider slope, before descending down a smooth trail, and finally carves through the snow with visible shadows.","['sGF4Eo_wdt.jpg', 'sGF4Eo_rwy.jpg', 'sGF4Eo_fyu.jpg', 'sGF4Eo_ruv.jpg']","[3, 1, 2, 4]"
yNWxnt, We see a boy fall off his skateboard.,"['yNWxnt_ces.jpg', 'yNWxnt_ixc.jpg', 'yNWxnt_smf.jpg', 'yNWxnt_mzu.jpg']","[1, 2, 4, 3]"
1hrmhl,"The camera tilts down, revealing a bike on the floor as the person adjusts the chain, then the bike rotates upright while the person attaches and adjusts the battery, demonstrating its capability to provide power without pedaling.","['1hrmhl_fhu.jpg', '1hrmhl_iwe.jpg', '1hrmhl_jfg.jpg', '1hrmhl_sym.jpg']","[1, 2, 3, 4]"
