Id,Sentence,Answer,Avg_MSE,Type
diZi5g,"The camera pans left to reveal two people kneeling beside a fishing hole on the ice, then shifts from a frontal to a rear view as a skier moves forward and jumps onto a rail.","[1, 2, 3, 4]",8514.852,Scene Cut
u7w0lr,"A girl hula hoops indoors before the scene shifts outdoors to a cheering group on rocks; then, players swim towards the pool's center, with one in a white cap preparing to pass the ball as spectators watch.","[3, 1, 2, 4]",7110.287,Scene Cut
2vqGOF,"The woman lowers her gaze to apply a yellow contact lens as the camera zooms in, followed by the child showcasing a small object, then moving to a seated position at a table as the camera zooms out.","[1, 2, 3, 4]",10187.921,Scene Cut
kSE41E,"The man moves closer to the mirror, tilting his head up while shaving, then a towel is raised to a face as the camera zooms in on a hand reaching down to touch the water surface.","[3, 2, 4, 1]",9305.126,Scene Cut
oO5UVE,"The cookie sheet with dough moves closer to the woman as she turns slightly left, then the second hand moves away, leaving the colorful-nailed hand resting alone on the paper.","[3, 1, 2, 4]",8519.06,Scene Cut
yMg9ew,"A glowing hula hoop fades into branding logos against black, then stage lights dim as the camera pans to reveal a seated performer and band member.","[1, 2, 3, 4]",4549.6685,Scene Cut
Qrt4Ax,"A person adjusts a bicycle as it shifts right and the camera lowers, while another individual points; then, the view focuses on hands attaching a bike accessory before revealing two similar items being held and connected to the bike.","[4, 2, 1, 3]",6129.7437,Scene Cut
WIiRD7,"A cyclist rides down a street, transitioning to a website link on a black screen; then, a hand adjusts the brake alignment, ensuring the wheel remains centered.","[4, 1, 3, 2]",13007.349,Scene Cut
9rOtnD,"The person mops the floor, moving the mop forward and slightly right as they step forward, then a cleaning machine moves forward across tiles, revealing a clean path as the camera slightly tilts down.","[1, 2, 3, 4]",4073.4688,Scene Cut
26W9oD,"The tool moves slightly upward and closer to the skin as the camera zooms in, then the hand pulls the lip further back to reveal more of the upper teeth.","[2, 4, 3, 1]",10792.077,Scene Cut
FIE67H,"The woman ties her hair back into a braid while turning slightly to the right, then the braid is woven tighter as hands move downward, securing the style.","[2, 4, 1, 3]",17159.484,Scene Cut
WTHZva,"The skater descends from the wall to the ground as the camera tilts down, followed by a player raising a paintball gun forward with a slight camera zoom.","[4, 3, 2, 1]",3891.1858,Scene Cut
xz5ZGp,"A person in a hooded coat is clearing snow from a car, replaced by another in a red cap, then moves to a nearby truck as the camera pans right, with a snowy tree branch visible in the background.","[1, 3, 2, 4]",8710.917,Scene Cut
2qEbuk,"The bottle is lowered as fingers with pink nails approach the camera, then hands part to weave strands of hair into a braid.","[2, 4, 3, 1]",10507.501,Scene Cut
bmnOkL,"The skier descends a steep slope, transitioning to a flatter snowy landscape, then the view shifts from distant mountains to a skier approaching trees in the foreground.","[4, 3, 2, 1]",7172.088,Scene Cut
qHYE4w,"The skater begins to glide down the road, then falls and lies on the ground, while another skater approaches and sits beside her.","[1, 4, 2, 3]",4846.6704,Scene Cut
GgHf6s,"The cymbal player moves to the center, joining the group as the camera zooms out, then the band transitions from scattered positions to a tightly organized formation across the field, with the camera continuing to zoom out.","[2, 4, 3, 1]",4152.2144,Scene Cut
wQMMKq,"The child shows a small object close-up, then sits smiling at a table as the camera zooms out, followed by a woman sitting for a tattoo, her face shifting left while subtitles appear on screen during a camera zoom.","[2, 1, 4, 3]",7135.2935,Scene Cut
DibTY4,"The diver leaps off the platform as the camera shifts left, transitioning to players swimming towards the goal, followed by a dramatic zoom-in on the ""MATT VS."" title screen.","[3, 1, 4, 2]",10211.204,Scene Cut
qxdBAf,"The bartender measures ingredients into a blender and adds a plate from the left, then the scene shifts to garnishing a cocktail with an orange peel, concluding with a close-up of a green logo on a white background.","[1, 3, 2, 4]",12395.292,Scene Cut
cpyXWh,"The camera zooms in on the ice fishing hole as a fish swims beneath, then shifts to a man kneeling near a fishing setup; he exits, leaving the pole in focus with text appearing at the bottom.","[3, 1, 4, 2]",6157.674,Scene Cut
cf5xEW,"The underwater scene transitions to a promotional video screen with video thumbnails, then shifts to a worker applying a mixture to a wall, followed by a downward camera tilt revealing two buckets on the floor.","[1, 2, 3, 4]",3790.0251,Scene Cut
3M8DjI,"The hair is braided over the shoulder, then twisted to the side, rolled into a bun, and secured at the back as the camera shifts left.","[1, 4, 3, 2]",10141.356,Scene Cut
CMIj0Q,"The bright light fades to reveal ""Thanks for watching!"" text, which then exits as the screen transitions to black.","[1, 3, 4, 2]",1260.7838,Scene Cut
mTu2ny,"The performer approaches the camera, raising one leg onto the step near the piano, then the female dancer turns away, revealing her back as the camera zooms out slightly.","[3, 2, 4, 1]",5417.5244,Scene Cut
G7f4Ng,"The harness is positioned on the dog's shoulders and then held up in front of a sitting dog, followed by another dog in a bath moving toward the water spray, sniffing the faucet, and playing with rubber ducks.","[3, 2, 4, 1]",4483.4233,Scene Cut
VLCYMp,"In a gymnasium, a group is gathered in Canandaigua, transitioning to a black screen with a message about video visibility, then a performer runs across a stage before gracefully lowering herself towards the floor.","[1, 2, 4, 3]",19274.584,Scene Cut
